№,Регион,Город,Улица,Дом,lat,lon,qc_geo,full_address
1,Алтайский край,Барнаул,улица 1 Мая,6,53.356018,83.77231,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 6"
2,Алтайский край,Барнаул,улица 1 Мая,8,53.356642,83.772347,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 8"
3,Алтайский край,Барнаул,улица 1 Мая,10,53.357185,83.77239,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1 Мая, д 10"
4,Алтайский край,Барнаул,улица 1905 года,25,53.357083,83.775006,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, ул 1905 года, д 25"
5,Алтайский край,Барнаул,улица 280-летия Барнаула,4,53.348419,83.669858,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 4"
6,Алтайский край,Барнаул,улица 280-летия Барнаула,14,53.348833,83.665888,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 14"
7,Алтайский край,Барнаул,улица 280-летия Барнаула,15,53.3480213,83.661793,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 15"
8,Алтайский край,Барнаул,улица 280-летия Барнаула,16,53.348197,83.665479,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 16"
9,Алтайский край,Барнаул,улица 280-летия Барнаула,21,53.349451,83.6574,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 21"
10,Алтайский край,Барнаул,улица 280-летия Барнаула,22,53.350687,83.657144,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 22"
11,Алтайский край,Барнаул,улица 280-летия Барнаула,23,53.34959,83.655968,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 23"
12,Алтайский край,Барнаул,улица 280-летия Барнаула,26,53.351179,83.655753,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 26"
13,Алтайский край,Барнаул,улица 280-летия Барнаула,27,53.349992,83.654734,0,"656070, Алтайский край, г Барнаул, Индустриальный р-н, ул 280-летия Барнаула, д 27"
14,Алтайский край,Барнаул,улица 40 лет Октября,2,53.37347,83.722046,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 2"
15,Алтайский край,Барнаул,улица 40 лет Октября,3а,53.374406,83.721008,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 3а"
16,Алтайский край,Барнаул,улица 40 лет Октября,5а,53.374368,83.720397,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 5а"
17,Алтайский край,Барнаул,улица 40 лет Октября,12,53.3754,83.72225,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 12"
18,Алтайский край,Барнаул,улица 40 лет Октября,13,53.3767654,83.721131,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 13"
19,Алтайский край,Барнаул,улица 40 лет Октября,14,53.379536,83.721332,2,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 14"
20,Алтайский край,Барнаул,улица 40 лет Октября,15,53.377339,83.721062,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 15"
21,Алтайский край,Барнаул,улица 40 лет Октября,17,53.377839,83.72108,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 17"
22,Алтайский край,Барнаул,улица 40 лет Октября,19,53.3798659,83.7209412,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 19"
23,Алтайский край,Барнаул,улица 40 лет Октября,19а,53.379837,83.721035,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 19а"
24,Алтайский край,Барнаул,улица 40 лет Октября,20,53.3796389,83.721719,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 20"
25,Алтайский край,Барнаул,улица 40 лет Октября,21,53.380718,83.72108,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 21"
26,Алтайский край,Барнаул,улица 40 лет Октября,22,53.380272,83.721799,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 22"
27,Алтайский край,Барнаул,улица 40 лет Октября,23,53.381346,83.721035,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 23"
28,Алтайский край,Барнаул,улица 40 лет Октября,24,53.381856,83.721808,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 24"
29,Алтайский край,Барнаул,улица 40 лет Октября,25,53.38198,83.721035,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 25"
30,Алтайский край,Барнаул,улица 40 лет Октября,27,53.382795,83.7208972,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 27"
31,Алтайский край,Барнаул,улица 40 лет Октября,28,53.3830463,83.7216751,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 28"
32,Алтайский край,Барнаул,улица 40 лет Октября,29а,53.383591,83.71984,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 29а"
33,Алтайский край,Барнаул,улица 40 лет Октября,29,53.383301,83.721107,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 29"
34,Алтайский край,Барнаул,улица 40 лет Октября,30,53.38372,83.721781,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 30"
35,Алтайский край,Барнаул,улица 40 лет Октября,31,53.383989,83.721062,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 31"
36,Алтайский край,Барнаул,улица 40 лет Октября,31а,53.384424,83.720308,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 31а"
37,Алтайский край,Барнаул,улица 40 лет Октября,32,53.384306,83.722131,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 32"
38,Алтайский край,Барнаул,улица 40 лет Октября,33,53.384703,83.721071,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 33"
39,Алтайский край,Барнаул,улица 40 лет Октября,33а,53.385068,83.719822,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 33а"
40,Алтайский край,Барнаул,улица 40 лет Октября,34а,53.385165,83.722553,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 34а"
41,Алтайский край,Барнаул,улица 40 лет Октября,34,53.384875,83.721763,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 34"
42,Алтайский край,Барнаул,улица 40 лет Октября,35,53.385391,83.721134,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 35"
43,Алтайский край,Барнаул,улица 40 лет Октября,36,53.3854601,83.7216751,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 36"
44,Алтайский край,Барнаул,улица 40 лет Октября,37,53.38588,83.7208455,1,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 40 лет Октября, д 37"
45,Алтайский край,Барнаул,улица 42 Краснознаменной Бригады,4,53.35489,83.70593,0,"656039, Алтайский край, г Барнаул, Индустриальный р-н, ул 42 Краснознаменной Бригады, д 4"
46,Алтайский край,Барнаул,улица 42 Краснознаменной Бригады,8а,53.35311,83.70529,0,"656039, Алтайский край, г Барнаул, Индустриальный р-н, ул 42 Краснознаменной Бригады, д 8а"
47,Алтайский край,Барнаул,улица 42 Краснознаменной Бригады,31,53.350166,83.70547,0,"656039, Алтайский край, г Барнаул, Индустриальный р-н, ул 42 Краснознаменной Бригады, д 31"
48,Алтайский край,Барнаул,улица 50 лет СССР,4,53.349323,83.68965,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 4"
49,Алтайский край,Барнаул,улица 50 лет СССР,6,53.349671,83.688615,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 6"
50,Алтайский край,Барнаул,улица 50 лет СССР,8,53.34885,83.687996,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 8"
51,Алтайский край,Барнаул,улица 50 лет СССР,12,53.348473,83.68654,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 12"
52,Алтайский край,Барнаул,улица 50 лет СССР,13,53.346184,83.69409,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 13"
53,Алтайский край,Барнаул,улица 50 лет СССР,14,53.3482207,83.6846763,1,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 14"
54,Алтайский край,Барнаул,улица 50 лет СССР,15,53.346478,83.69265,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 15"
55,Алтайский край,Барнаул,улица 50 лет СССР,16,53.347414,83.681985,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 16"
56,Алтайский край,Барнаул,улица 50 лет СССР,19,53.34772,83.69272,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 19"
57,Алтайский край,Барнаул,улица 50 лет СССР,20,53.346893,83.68029,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 20"
58,Алтайский край,Барнаул,улица 50 лет СССР,21,53.348188,83.692163,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 21"
59,Алтайский край,Барнаул,улица 50 лет СССР,22,53.34684,83.67864,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 22"
60,Алтайский край,Барнаул,улица 50 лет СССР,23,53.34759,83.69148,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 23"
61,Алтайский край,Барнаул,улица 50 лет СССР,24,53.347027,83.67679,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 24"
62,Алтайский край,Барнаул,улица 50 лет СССР,25,53.3466569,83.6912688,1,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 25"
63,Алтайский край,Барнаул,улица 50 лет СССР,25,53.3466569,83.6912688,1,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 25"
64,Алтайский край,Барнаул,улица 50 лет СССР,27а,53.34875,83.69235,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 27а"
65,Алтайский край,Барнаул,улица 50 лет СССР,27,53.34822,83.69075,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 27"
66,Алтайский край,Барнаул,улица 50 лет СССР,31,53.347935,83.689476,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 31"
67,Алтайский край,Барнаул,улица 50 лет СССР,33,53.347404,83.68952,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 33"
68,Алтайский край,Барнаул,улица 50 лет СССР,35,53.347043,83.690133,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 35"
69,Алтайский край,Барнаул,улица 50 лет СССР,37,53.34684,83.688934,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 37"
70,Алтайский край,Барнаул,улица 50 лет СССР,39,53.347523,83.68802,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 39"
71,Алтайский край,Барнаул,улица 50 лет СССР,43,53.347301,83.686702,0,"656066, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 43"
72,Алтайский край,Барнаул,улица 50 лет СССР,51,53.345554,83.680503,0,"656057, Алтайский край, г Барнаул, Индустриальный р-н, ул 50 лет СССР, д 51"
73,Алтайский край,Барнаул,улица 65 лет Победы,1,53.355363,83.667109,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 1"
74,Алтайский край,Барнаул,улица 65 лет Победы,6,53.355202,83.665582,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 6"
75,Алтайский край,Барнаул,улица 65 лет Победы,9,53.354036,83.667954,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 9"
76,Алтайский край,Барнаул,улица 65 лет Победы,10,53.354396,83.665564,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 10"
77,Алтайский край,Барнаул,улица 65 лет Победы,12,53.3543137,83.6655274,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 12"
78,Алтайский край,Барнаул,улица 65 лет Победы,22,53.347365,83.662681,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 22"
79,Алтайский край,Барнаул,улица 65 лет Победы,23,53.353004,83.66772,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 23"
80,Алтайский край,Барнаул,улица 65 лет Победы,25,53.353084,83.666525,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 25"
81,Алтайский край,Барнаул,улица 65 лет Победы,29,53.351977,83.665834,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 29"
82,Алтайский край,Барнаул,улица 65 лет Победы,41,53.350698,83.664971,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 41"
83,Алтайский край,Барнаул,улица 65 лет Победы,45,53.349724,83.66461,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 45"
84,Алтайский край,Барнаул,улица 65 лет Победы,49,53.349569,83.665941,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 49"
85,Алтайский край,Барнаул,улица 65 лет Победы,53,53.348709,83.664378,0,"656065, Алтайский край, г Барнаул, Индустриальный р-н, ул 65 лет Победы, д 53"
86,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,2,53.367573,83.74573,0,"656037, Алтайский край, г Барнаул, ул 80 Гвардейской Дивизии, д 2"
87,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,2,53.367573,83.74573,0,"656037, Алтайский край, г Барнаул, ул 80 Гвардейской Дивизии, д 2"
88,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,4а,53.3690599,83.7484767,1,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 4А"
89,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,4а,53.3690599,83.7484767,1,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 4А"
90,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,4,53.36912,83.74844,0,"656011, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 4"
91,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,6,53.368561,83.747571,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 6"
92,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,8а,53.368904,83.74651,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 8а"
93,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,8,53.368094,83.744692,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 8"
94,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,10,53.368616,83.744132,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 10"
95,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,10а,53.368874,83.74504,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 10а"
96,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,12,53.369437,83.743259,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 12"
97,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,14а,53.369675,83.74453,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 14а"
98,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,14,53.36955,83.74391,0,"656037, Алтайский край, г Барнаул, Железнодорожный р-н, ул 80 Гвардейской Дивизии, д 14"
99,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,20а,53.37198,83.74142,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 20а"
100,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,20,53.371387,83.741274,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 20"
101,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,24,53.373417,83.739227,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 24"
102,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,26,53.3736,83.73988,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 26"
103,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,26а,53.37416,83.74011,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 26а"
104,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,28,53.374977,83.73736,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 28"
105,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,29,53.370968,83.74022,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 29"
106,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,29,53.370968,83.74022,1,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 29"
107,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,30,53.375682,83.738178,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 30"
108,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,32,53.376147,83.73778,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 32"
109,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,34,53.375673,83.736647,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 34"
110,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,36,53.37634,83.737196,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 36"
111,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,38,53.376926,83.737178,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 38"
112,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,40,53.376345,83.73589,0,"656037, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 40"
113,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,42,53.377005,83.736467,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 42"
114,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,50,53.378662,83.73329,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 50"
115,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,58,53.379644,83.732309,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 58"
116,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,63,53.379128,83.732031,0,"656010, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 63"
117,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,64,53.3809183,83.7309814,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 64"
118,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,66а,53.382103,83.73072,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 66а"
119,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,66,53.3816163,83.7302285,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 66"
120,Алтайский край,Барнаул,улица 80 Гвардейской Дивизии,68,53.382485,83.729803,0,"656023, Алтайский край, г Барнаул, Октябрьский р-н, ул 80 Гвардейской Дивизии, д 68"
121,Алтайский край,Барнаул,9 Мая проезд,5а,53.35947,83.776146,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 5а"
122,Алтайский край,Барнаул,9 Мая проезд,5,53.359497,83.77391,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 5"
123,Алтайский край,Барнаул,9 Мая проезд,6,53.360082,83.774027,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 6"
124,Алтайский край,Барнаул,9 Мая проезд,7а,53.35924,83.77705,0,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 7а"
125,Алтайский край,Барнаул,9 Мая проезд,9,53.3591067,83.7781472,1,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 9"
126,Алтайский край,Барнаул,9 Мая проезд,11,53.359845,83.77356,2,"656002, Алтайский край, г Барнаул, Октябрьский р-н, пр-д 9 Мая, д 11"
127,Алтайский край,Барнаул,9 Января бульвар,88,53.363075,83.788246,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 88"
128,Алтайский край,Барнаул,9 Января бульвар,90,53.363808,83.788185,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 90"
129,Алтайский край,Барнаул,9 Января бульвар,92,53.36454,83.78821,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 92"
130,Алтайский край,Барнаул,9 Января бульвар,94,53.365074,83.78825,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 94"
131,Алтайский край,Барнаул,9 Января бульвар,102,53.366875,83.78773,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 102"
132,Алтайский край,Барнаул,9 Января бульвар,104,53.367283,83.788506,0,"656004, Алтайский край, г Барнаул, Октябрьский р-н, б-р 9 Января, д 104"
133,Алтайский край,Барнаул,улица Аванесова,36,53.315375,83.782255,2,"Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 36"
134,Алтайский край,Барнаул,улица Аванесова,44,53.318176,83.785065,0,"656003, Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 44"
135,Алтайский край,Барнаул,улица Аванесова,56,53.316068,83.782579,0,"656003, Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 56"
136,Алтайский край,Барнаул,улица Аванесова,65,53.31815,83.78672,0,"656003, Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 65"
137,Алтайский край,Барнаул,улица Аванесова,99,53.314804,83.7831,0,"656003, Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 99"
138,Алтайский край,Барнаул,улица Аванесова,111,53.312835,83.780962,0,"656003, Алтайский край, г Барнаул, Центральный р-н, ул Аванесова, д 111"
139,Алтайский край,Барнаул,улица Анатолия,6,53.341133,83.79911,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 6"
140,Алтайский край,Барнаул,улица Анатолия,20,53.340038,83.796122,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 20"
141,Алтайский край,Барнаул,улица Анатолия,35а,53.33964,83.796512,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 35а"
142,Алтайский край,Барнаул,улица Анатолия,60,53.338478,83.79173,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 60"
143,Алтайский край,Барнаул,улица Анатолия,62,53.338323,83.791256,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 62"
144,Алтайский край,Барнаул,улица Анатолия,64,53.338097,83.790816,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 64"
145,Алтайский край,Барнаул,улица Анатолия,67,53.337914,83.791984,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 67"
146,Алтайский край,Барнаул,улица Анатолия,68,53.331104,83.773861,2,"Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 68"
147,Алтайский край,Барнаул,улица Анатолия,77,53.337597,83.791077,0,"656056, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 77"
148,Алтайский край,Барнаул,улица Анатолия,87,53.336139,83.78773,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 87"
149,Алтайский край,Барнаул,улица Анатолия,89,53.335855,83.787295,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 89"
150,Алтайский край,Барнаул,улица Анатолия,91,53.335667,83.786567,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 91"
151,Алтайский край,Барнаул,улица Анатолия,94,53.335253,83.783917,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 94"
152,Алтайский край,Барнаул,улица Анатолия,100,53.334812,83.782848,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 100"
153,Алтайский край,Барнаул,улица Анатолия,102а,53.3347906,83.7819365,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 102а"
154,Алтайский край,Барнаул,улица Анатолия,104,53.334537,83.782094,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 104"
155,Алтайский край,Барнаул,улица Анатолия,111,53.334484,83.783165,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 111"
156,Алтайский край,Барнаул,улица Анатолия,113,53.334059,83.783154,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 113"
157,Алтайский край,Барнаул,улица Анатолия,118,53.333564,83.779596,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 118"
158,Алтайский край,Барнаул,улица Анатолия,145,53.332276,83.778075,0,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 145"
159,Алтайский край,Барнаул,улица Анатолия,161,53.3315944,83.776104,1,"656043, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 161"
160,Алтайский край,Барнаул,улица Анатолия,170,53.329878,83.77031,0,"656008, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 170"
161,Алтайский край,Барнаул,улица Анатолия,178а,53.3294554,83.7691741,1,"656008, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 178а"
162,Алтайский край,Барнаул,улица Анатолия,181,53.330531,83.773012,0,"656008, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 181"
163,Алтайский край,Барнаул,улица Анатолия,220,53.32693,83.761992,0,"656008, Алтайский край, г Барнаул, Центральный р-н, ул Анатолия, д 220"
